dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000998,1.010000,0.000225,0.022529,1.126468,56.323387,6.282198
0.020000,0.000952,1.010000,0.000271,0.002271,-1.012914,-106.969093,6.282243
0.020000,0.000850,1.010000,0.000373,0.005111,0.141979,57.744677,6.282344
0.020000,0.000668,1.010000,0.000555,0.009088,0.198876,2.844822,6.282524
0.020000,0.000384,1.010000,0.000839,0.014207,0.255933,2.852857,6.282805
0.020000,0.000477,1.010000,0.000931,0.004625,-0.479076,-36.750430,0.000025
0.020000,0.010960,1.010003,0.011415,0.524174,25.977417,1322.824624,0.000578
0.020000,0.024434,1.010016,0.024889,0.673717,7.477166,-925.012530,0.001289
0.020000,0.040901,1.010044,0.041355,0.823316,7.479944,0.138877,0.002161
0.020000,0.060359,1.010096,0.060814,0.972911,7.479752,-0.009568,0.003194
0.020000,0.082807,1.010181,0.083262,1.122418,7.475373,-0.218982,0.004391
0.020000,0.108242,1.010310,0.108697,1.271754,7.466779,-0.429694,0.005752
0.020000,0.136662,1.010496,0.137118,1.421046,7.464619,-0.107974,0.007279
0.020000,0.168065,1.010751,0.168522,1.570198,7.457592,-0.351373,0.008976
0.020000,0.202450,1.011091,0.202909,1.719339,7.457017,-0.028762,0.010844
0.020000,0.239812,1.011535,0.240273,1.868204,7.443258,-0.687918,0.012885
0.020000,0.280146,1.012099,0.280611,2.016918,7.435734,-0.376206,0.015104
0.020000,0.323452,1.012805,0.323923,2.165583,7.433224,-0.125508,0.017504
0.020000,0.369724,1.013675,0.370203,2.313989,7.420332,-0.644600,0.020087
0.020000,0.418956,1.014732,0.419446,2.462186,7.409834,-0.524890,0.022859
0.020000,0.471143,1.016003,0.471649,2.610139,7.397656,-0.608935,0.025823
0.020000,0.526281,1.017514,0.526808,2.757943,7.390173,-0.374146,0.028983
0.020000,0.584364,1.019295,0.584918,2.905499,7.377793,-0.618966,0.032345
0.020000,0.645383,1.021378,0.645972,3.052707,7.360436,-0.867878,0.035915
0.020000,0.709330,1.023797,0.709965,3.199649,7.347084,-0.667589,0.039697
0.020000,0.776198,1.026586,0.776891,3.346301,7.332587,-0.724838,0.043697
0.020000,0.845978,1.029785,0.846745,3.492694,7.319685,-0.645090,0.047924
0.020000,0.918659,1.033433,0.919517,3.638618,7.296170,-1.175750,0.052382
0.020000,0.994230,1.037573,0.995201,3.784188,7.278503,-0.883364,0.057080
0.020000,1.072681,1.042250,1.073792,3.929519,7.266558,-0.597272,0.062026
0.020000,1.153993,1.047512,1.155274,4.074128,7.230464,-1.804706,0.067228
0.020000,1.238158,1.053409,1.239645,4.218538,7.220477,-0.499324,0.072694
0.020000,1.325156,1.059995,1.326892,4.362364,7.191297,-1.458997,0.078436
0.020000,1.414970,1.067326,1.417005,4.505657,7.164657,-1.331997,0.084462
0.020000,1.507585,1.075461,1.509976,4.648542,7.144248,-1.020449,0.090784
0.020000,1.602972,1.084462,1.605787,4.790561,7.100970,-2.163926,0.097413
0.020000,1.701117,1.094396,1.704433,4.932291,7.086489,-0.724056,0.104361
0.020000,1.801989,1.105332,1.805896,5.073164,7.043663,-2.141264,0.111642
0.020000,1.905562,1.117342,1.910163,5.213339,7.008747,-1.745807,0.119268
0.020000,2.011809,1.130504,2.017223,5.352993,6.982661,-1.304332,0.127255
0.020000,2.120693,1.144896,2.127054,5.491550,6.927879,-2.739085,0.135618
0.020000,2.232182,1.160605,2.239645,5.629524,6.898690,-1.459439,0.144372
0.020000,2.346236,1.177719,2.354975,5.766539,6.850735,-2.397747,0.153536
0.020000,2.462815,1.196331,2.473030,5.902754,6.810771,-1.998191,0.163128
0.020000,2.581868,1.216538,2.593786,6.037784,6.751484,-2.964350,0.173166
0.020000,2.703349,1.238442,2.717226,6.172004,6.711030,-2.022720,0.183671
0.020000,2.827201,1.262152,2.843327,6.305025,6.651027,-3.000155,0.194664
0.020000,2.953363,1.287777,2.972065,6.436913,6.594401,-2.831277,0.206166
0.020000,3.081774,1.315437,3.103422,6.567830,6.545869,-2.426610,0.218202
0.020000,3.212360,1.345252,3.237367,6.697293,6.473150,-3.635952,0.230795
0.020000,3.345044,1.377351,3.373880,6.825606,6.415634,-2.875812,0.243970
0.020000,3.479745,1.411865,3.512931,6.952582,6.348816,-3.340894,0.257754
0.020000,3.616369,1.448932,3.654495,7.078175,6.279642,-3.458687,0.272173
0.020000,3.754820,1.488696,3.798543,7.202404,6.211422,-3.411026,0.287254
0.020000,3.894993,1.531306,3.945049,7.325295,6.144595,-3.341344,0.303027
0.020000,4.036771,1.576914,4.093983,7.446694,6.069926,-3.733461,0.319517
0.020000,4.180032,1.625680,4.245315,7.566642,5.997414,-3.625578,0.336755
0.020000,4.324642,1.677766,4.399020,7.685227,5.929239,-3.408770,0.354767
0.020000,4.470459,1.733340,4.555069,7.802446,5.860963,-3.413805,0.373581
0.020000,4.617331,1.792575,4.713436,7.918332,5.794285,-3.333868,0.393222
0.020000,4.765095,1.855645,4.874096,8.033042,5.735476,-2.940445,0.413714
0.020000,4.913578,1.922729,5.037031,8.146712,5.683508,-2.598405,0.435079
0.020000,5.062596,1.994008,5.202218,8.259387,5.633762,-2.487286,0.457335
0.020000,5.211956,2.069665,5.369647,8.371431,5.602185,-1.578882,0.480494
0.020000,5.361453,2.149882,5.539306,8.482977,5.577321,-1.243181,0.504567
