dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000225,0.022529,1.126468,56.323387,6.282198
0.020000,0.000000,0.000000,0.001126,0.067588,2.252935,56.323387,6.282243
0.020000,0.000000,0.000000,0.003154,0.135176,3.379403,56.323387,6.282344
0.020000,0.000000,0.000000,0.006759,0.225294,4.505871,56.323387,6.282524
0.020000,0.000000,0.000000,0.012391,0.337940,5.632339,56.323387,6.282805
0.020000,0.000502,0.000000,0.020502,0.473116,6.758806,56.323387,0.000025
0.020000,0.011544,0.000003,0.031541,0.630822,7.885274,56.323387,0.000578
0.020000,0.025737,0.000017,0.045735,0.788527,7.885274,0.000000,0.001289
0.020000,0.043083,0.000047,0.063082,0.946233,7.885274,0.000000,0.002161
0.020000,0.063585,0.000101,0.083584,1.103938,7.885274,-0.000000,0.003194
0.020000,0.087242,0.000191,0.107240,1.261644,7.885274,0.000000,0.004391
0.020000,0.114051,0.000327,0.134050,1.419349,7.885274,-0.000000,0.005752
0.020000,0.144014,0.000522,0.164014,1.577055,7.885274,0.000000,0.007279
0.020000,0.177130,0.000791,0.197132,1.734760,7.885274,0.000000,0.008976
0.020000,0.213402,0.001151,0.233404,1.892466,7.885274,0.000000,0.010844
0.020000,0.252826,0.001619,0.272830,2.050171,7.885274,-0.000000,0.012885
0.020000,0.295401,0.002214,0.315411,2.207877,7.885274,-0.000000,0.015104
0.020000,0.341130,0.002960,0.361146,2.365582,7.885274,0.000000,0.017504
0.020000,0.390010,0.003879,0.410034,2.523288,7.885274,0.000000,0.020087
0.020000,0.442041,0.004996,0.462077,2.680993,7.885274,0.000000,0.022859
0.020000,0.497221,0.006339,0.517274,2.838699,7.885274,-0.000000,0.025823
0.020000,0.555550,0.007938,0.575625,2.996404,7.885274,0.000000,0.028983
0.020000,0.617027,0.009824,0.637130,3.154110,7.885274,0.000000,0.032345
0.020000,0.681649,0.012030,0.701789,3.311815,7.885274,0.000000,0.035915
0.020000,0.749413,0.014593,0.769603,3.469521,7.885274,0.000000,0.039697
0.020000,0.820318,0.017551,0.840570,3.627226,7.885274,0.000000,0.043697
0.020000,0.894363,0.020945,0.914692,3.784932,7.885274,0.000000,0.047924
0.020000,0.971541,0.024818,0.991967,3.942637,7.885274,-0.000000,0.052382
0.020000,1.051849,0.029218,1.072397,4.100343,7.885274,0.000000,0.057080
0.020000,1.135287,0.034192,1.155981,4.258048,7.885274,-0.000000,0.062026
0.020000,1.221842,0.039793,1.242719,4.415754,7.885274,0.000000,0.067228
0.020000,1.311514,0.046076,1.332611,4.573459,7.885274,0.000000,0.072694
0.020000,1.404295,0.053100,1.425658,4.731164,7.885274,-0.000000,0.078436
0.020000,1.500176,0.060926,1.521858,4.888870,7.885274,0.000000,0.084462
0.020000,1.599151,0.069620,1.621212,5.046575,7.885274,-0.000000,0.090784
0.020000,1.701204,0.079250,1.723721,5.204281,7.885274,0.000000,0.097413
0.020000,1.806330,0.089891,1.829384,5.361986,7.885274,0.000000,0.104361
0.020000,1.914513,0.101620,1.938200,5.519692,7.885274,-0.000000,0.111642
0.020000,2.025737,0.114517,2.050171,5.677397,7.885274,0.000000,0.119268
0.020000,2.139990,0.128671,2.165296,5.835103,7.885274,-0.000000,0.127255
0.020000,2.257247,0.144170,2.283575,5.992808,7.885274,0.000000,0.135618
0.020000,2.377492,0.161113,2.405009,6.150514,7.885274,-0.000000,0.144372
0.020000,2.500700,0.179600,2.529596,6.308219,7.885274,0.000000,0.153536
0.020000,2.626845,0.199739,2.657337,6.465925,7.885274,-0.000000,0.163128
0.020000,2.755893,0.221643,2.788233,6.623630,7.885274,0.000000,0.173166
0.020000,2.887816,0.245431,2.922283,6.781336,7.885274,-0.000000,0.183671
0.020000,3.022571,0.271228,3.059486,6.939041,7.885274,0.000000,0.194664
0.020000,3.160118,0.299166,3.199844,7.096747,7.885274,-0.000000,0.206166
0.020000,3.300413,0.329386,3.343356,7.254452,7.885274,0.000000,0.218202
0.020000,3.443398,0.362033,3.490022,7.412158,7.885274,-0.000000,0.230795
0.020000,3.589017,0.397260,3.639843,7.569863,7.885274,0.000000,0.243970
0.020000,3.737203,0.435230,3.792817,7.727569,7.885274,-0.000000,0.257754
0.020000,3.887882,0.476111,3.948945,7.885274,7.885274,0.000000,0.272173
0.020000,4.040973,0.520080,4.108228,8.042980,7.885274,-0.000000,0.287254
0.020000,4.196387,0.567323,4.270664,8.200685,7.885274,0.000000,0.303027
0.020000,4.354021,0.618033,4.436255,8.358391,7.885274,-0.000000,0.319517
0.020000,4.513762,0.672409,4.605000,8.516096,7.885274,0.000000,0.336755
0.020000,4.675488,0.730661,4.776899,8.673802,7.885274,-0.000000,0.354767
0.020000,4.839060,0.793004,4.951952,8.831507,7.885274,0.000000,0.373581
0.020000,5.004329,0.859659,5.130159,8.989212,7.885274,0.000000,0.393222
0.020000,5.171128,0.930855,5.311521,9.146918,7.885274,0.000000,0.413714
0.020000,5.339275,1.006824,5.496036,9.304623,7.885274,-0.000000,0.435079
0.020000,5.508569,1.087803,5.683706,9.462329,7.885274,0.000000,0.457335
0.020000,5.678795,1.174031,5.874529,9.620034,7.885274,0.000000,0.480494
0.020000,5.849716,1.265745,6.068507,9.777740,7.885274,0.000000,0.504567
0.020000,6.021078,1.363183,6.265639,9.935445,7.885274,-0.000000,0.529556
0.020000,6.192605,1.466577,6.465925,10.093151,7.885274,0.000000,0.555457
0.020000,6.364006,1.576153,6.669365,10.250856,7.885274,-0.000000,0.582255
0.020000,6.534969,1.692128,6.875959,10.408562,7.885274,0.000000,0.609931
0.020000,6.704984,1.814570,7.085482,10.543738,6.758806,-56.323387,0.638421
0.020000,6.873364,1.943370,7.297483,10.656385,5.632339,-56.323387,0.667619
0.020000,7.039445,2.078358,7.511512,10.746502,4.505871,-56.323387,0.697406
0.020000,7.202592,2.219303,7.727118,10.814090,3.379403,-56.323387,0.727652
0.020000,7.362208,2.365904,7.943850,10.859149,2.252935,-56.323387,0.758216
0.020000,7.517687,2.517750,8.161186,10.874405,0.762794,-74.507056,0.788942
0.020000,7.668329,2.674195,8.378376,10.844602,-1.490141,-112.646773,0.819637
0.020000,7.813562,2.834566,8.594745,10.792270,-2.616609,-56.323387,0.850120
0.020000,7.953044,2.998297,8.809842,10.717408,-3.743077,-56.323387,0.880247
0.020000,8.086494,3.164779,9.023216,10.620017,-4.869544,-56.323387,0.909879
0.020000,8.213697,3.333368,9.234417,10.500097,-5.996012,-56.323387,0.938888
