dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000998,-1.010000,0.000225,0.022529,1.126468,56.323387,6.282198
0.020000,-0.000952,-1.010000,0.000271,0.002271,-1.012914,-106.969093,6.282243
0.020000,-0.000850,-1.010000,0.000373,0.005111,0.141979,57.744677,6.282344
0.020000,-0.000668,-1.010000,0.000555,0.009088,0.198876,2.844822,6.282524
0.020000,-0.000384,-1.010000,0.000839,0.014207,0.255933,2.852857,6.282805
0.020000,0.000527,-1.010000,0.001750,0.045570,1.568178,65.612270,0.000025
0.020000,0.012127,-1.009996,0.013350,0.579984,26.720682,1257.625166,0.000578
0.020000,0.027039,-1.009983,0.028262,0.745593,8.280445,-922.011845,0.001289
0.020000,0.045266,-1.009951,0.046489,0.911371,8.288919,0.423711,0.002161
0.020000,0.066812,-1.009893,0.068035,1.077278,8.295347,0.321377,0.003194
0.020000,0.091676,-1.009799,0.092900,1.243246,8.298396,0.152459,0.004391
0.020000,0.119860,-1.009656,0.121084,1.409207,8.298056,-0.016971,0.005752
0.020000,0.151366,-1.009451,0.152590,1.575330,8.306155,0.404958,0.007279
0.020000,0.186196,-1.009168,0.187421,1.741535,8.310206,0.202513,0.008976
0.020000,0.224354,-1.008790,0.225581,1.907990,8.322799,0.629677,0.010844
0.020000,0.265839,-1.008298,0.267070,2.074434,8.322193,-0.030317,0.012885
0.020000,0.310656,-1.007670,0.311890,2.241034,8.329973,0.388984,0.015104
0.020000,0.358808,-1.006885,0.360049,2.407931,8.344858,0.744250,0.017504
0.020000,0.410297,-1.005918,0.411547,2.574927,8.349792,0.246739,0.020087
0.020000,0.465127,-1.004740,0.466390,2.742107,8.359033,0.462007,0.022859
0.020000,0.523299,-1.003324,0.524579,2.909470,8.368116,0.454174,0.025823
0.020000,0.584819,-1.001638,0.586122,3.077154,8.384231,0.805729,0.028983
0.020000,0.649690,-0.999648,0.651024,3.245090,8.396770,0.626955,0.032345
0.020000,0.717915,-0.997319,0.719288,3.413204,8.405707,0.446875,0.035915
0.020000,0.789496,-0.994612,0.790921,3.581627,8.421173,0.773291,0.039697
0.020000,0.864438,-0.991485,0.865928,3.750378,8.437524,0.817550,0.043697
0.020000,0.942747,-0.987896,0.944319,3.919537,8.457946,1.021076,0.047924
0.020000,1.024422,-0.983796,1.026097,4.088914,8.468847,0.545076,0.052382
0.020000,1.109469,-0.979137,1.111271,4.258690,8.488815,0.998399,0.057080
0.020000,1.197893,-0.973866,1.199852,4.429048,8.517897,1.454081,0.062026
0.020000,1.289691,-0.967925,1.291842,4.599499,8.522548,0.232580,0.067228
0.020000,1.384871,-0.961256,1.387256,4.770691,8.559584,1.851810,0.072694
0.020000,1.483434,-0.953795,1.486101,4.942252,8.578064,0.923977,0.078436
0.020000,1.585381,-0.945474,1.588387,5.114305,8.602664,1.229975,0.084462
0.020000,1.690717,-0.936221,1.694128,5.287061,8.637800,1.756825,0.090784
0.020000,1.799435,-0.925961,1.803329,5.460072,8.650546,0.637288,0.097413
0.020000,1.911544,-0.914614,1.916011,5.634070,8.699908,2.468100,0.104361
0.020000,2.027037,-0.902093,2.032181,5.808490,8.720974,1.053331,0.111642
0.020000,2.145912,-0.888308,2.151853,5.983595,8.755246,1.713598,0.119268
0.020000,2.268171,-0.873163,2.275046,6.159677,8.804117,2.443526,0.127255
0.020000,2.393802,-0.856556,2.401769,6.336169,8.824600,1.024163,0.135618
0.020000,2.522803,-0.838379,2.532045,6.513756,8.879368,2.738406,0.144372
0.020000,2.655163,-0.818519,2.665887,6.692107,8.917512,1.907164,0.153536
0.020000,2.790874,-0.796852,2.803317,6.871509,8.970115,2.630177,0.163128
0.020000,2.929918,-0.773252,2.944349,7.051620,9.005568,1.772639,0.173166
0.020000,3.072282,-0.747581,3.089009,7.232989,9.068450,3.144097,0.183671
0.020000,3.217942,-0.719696,3.237314,7.415270,9.114054,2.280211,0.194664
0.020000,3.366874,-0.689445,3.389288,7.598654,9.169162,2.755419,0.206166
0.020000,3.519053,-0.656665,3.544956,7.783443,9.239460,3.514866,0.218202
0.020000,3.674437,-0.621187,3.704340,7.969175,9.286589,2.356457,0.230795
0.020000,3.832990,-0.582830,3.867466,8.156313,9.356948,3.517935,0.243970
0.020000,3.994662,-0.541405,4.034361,8.344736,9.421136,3.209431,0.257754
0.020000,4.159396,-0.496710,4.205050,8.534473,9.486830,3.284705,0.272173
0.020000,4.327127,-0.448535,4.379563,8.725619,9.557304,3.523677,0.287254
0.020000,4.497781,-0.396659,4.557928,8.918263,9.632203,3.744961,0.303027
0.020000,4.671270,-0.340848,4.740173,9.112244,9.699036,3.341654,0.319517
0.020000,4.847492,-0.280861,4.926325,9.307610,9.768340,3.465173,0.336755
0.020000,5.026333,-0.216444,5.116414,9.504429,9.840935,3.629759,0.354767
0.020000,5.207662,-0.147333,5.310466,9.702610,9.909039,3.405199,0.373581
0.020000,5.391327,-0.073257,5.508507,9.902048,9.971879,3.142007,0.393222
0.020000,5.577161,0.006064,5.710561,10.102727,10.033962,3.104145,0.413714
0.020000,5.764972,0.090919,5.916652,10.304531,10.090219,2.812854,0.435079
0.020000,5.954543,0.181598,6.126795,10.507138,10.130351,2.006631,0.457335
0.020000,6.145635,0.278397,6.341005,10.710531,10.169645,1.964699,0.480494
