dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.000000,0.000225,0.022459,1.122938,56.146909,0.000000
0.020000,0.000000,10.000000,0.001123,0.067376,2.245876,56.146909,0.000000
0.020000,0.000000,10.000000,0.003144,0.134753,3.368815,56.146909,0.000000
0.020000,0.001738,10.000000,0.006738,0.224588,4.491753,56.146909,0.000000
0.020000,0.007352,10.000000,0.012352,0.336881,5.614691,56.146909,0.000000
0.020000,0.015437,10.000000,0.020437,0.471634,6.737629,56.146909,0.000000
0.020000,0.026442,10.000000,0.031442,0.628845,7.860567,56.146909,0.000000
0.020000,0.040591,10.000000,0.045591,0.786057,7.860567,-0.000000,0.000000
0.020000,0.057885,10.000000,0.062885,0.943268,7.860567,-0.000000,0.000000
0.020000,0.078322,10.000000,0.083322,1.100479,7.860567,0.000000,0.000000
0.020000,0.101904,10.000000,0.106904,1.257691,7.860567,0.000000,0.000000
0.020000,0.128630,10.000000,0.133630,1.414902,7.860567,-0.000000,0.000000
0.020000,0.158500,10.000000,0.163500,1.572113,7.860567,0.000000,0.000000
0.020000,0.191514,10.000000,0.196514,1.729325,7.860567,0.000000,0.000000
0.020000,0.227673,10.000000,0.232673,1.886536,7.860567,-0.000000,0.000000
0.020000,0.266976,10.000000,0.271976,2.043747,7.860567,0.000000,0.000000
0.020000,0.309423,10.000000,0.314423,2.200959,7.860567,-0.000000,0.000000
0.020000,0.355014,10.000000,0.360014,2.358170,7.860567,0.000000,0.000000
0.020000,0.403749,10.000000,0.408749,2.515382,7.860567,0.000000,0.000000
0.020000,0.455629,10.000000,0.460629,2.672593,7.860567,-0.000000,0.000000
0.020000,0.510653,10.000000,0.515653,2.829804,7.860567,0.000000,0.000000
0.020000,0.568821,10.000000,0.573821,2.987016,7.860567,0.000000,0.000000
0.020000,0.630134,10.000000,0.635134,3.144227,7.860567,0.000000,0.000000
0.020000,0.694590,10.000000,0.699590,3.301438,7.860567,-0.000000,0.000000
0.020000,0.762191,10.000000,0.767191,3.458650,7.860567,0.000000,0.000000
0.020000,0.832936,10.000000,0.837936,3.615861,7.860567,0.000000,0.000000
0.020000,0.906826,10.000000,0.911826,3.773072,7.860567,-0.000000,0.000000
0.020000,0.983859,10.000000,0.988859,3.930284,7.860567,0.000000,0.000000
0.020000,1.064037,10.000000,1.069037,4.087495,7.860567,0.000000,0.000000
0.020000,1.147359,10.000000,1.152359,4.244706,7.860567,-0.000000,0.000000
0.020000,1.233825,10.000000,1.238825,4.401918,7.860567,0.000000,0.000000
0.020000,1.323436,10.000000,1.328436,4.559129,7.860567,0.000000,0.000000
0.020000,1.416191,10.000000,1.421191,4.716340,7.860567,-0.000000,0.000000
0.020000,1.512089,10.000000,1.517089,4.873552,7.860567,0.000000,0.000000
0.020000,1.611133,10.000000,1.616133,5.030763,7.860567,0.000000,0.000000
0.020000,1.713320,10.000000,1.718320,5.187974,7.860567,-0.000000,0.000000
0.020000,1.818652,10.000000,1.823652,5.345186,7.860567,0.000000,0.000000
0.020000,1.926903,10.000000,1.931903,5.479938,6.737629,-56.146909,0.000000
0.020000,2.037625,10.000000,2.042625,5.592232,5.614691,-56.146909,0.000000
0.020000,2.150368,10.000000,2.155368,5.682067,4.491753,-56.146909,0.000000
0.020000,2.264683,10.000000,2.269683,5.749443,3.368815,-56.146909,0.000000
0.020000,2.380121,10.000000,2.385121,5.794361,2.245876,-56.146909,0.000000
0.020000,2.496233,10.000000,2.501233,5.816820,1.122938,-56.146909,0.000000
0.020000,2.612349,10.000000,2.617349,5.794850,-1.098469,-111.070364,0.000000
0.020000,2.727802,10.000000,2.732802,5.750422,-2.221407,-56.146909,0.000000
0.020000,2.842142,10.000000,2.847142,5.683535,-3.344345,-56.146909,0.000000
0.020000,2.954919,10.000000,2.959919,5.594190,-4.467284,-56.146909,0.000000
0.020000,3.065685,10.000000,3.070685,5.482385,-5.590222,-56.146909,0.000000
0.020000,3.173990,10.000000,3.178990,5.348122,-6.713160,-56.146909,0.000000
0.020000,3.279385,10.000000,3.284385,5.191400,-7.836098,-56.146909,0.000000
0.020000,3.381641,10.000000,3.386641,5.034189,-7.860567,-1.223454,0.000000
0.020000,3.480752,10.000000,3.485752,4.876977,-7.860567,0.000000,0.000000
0.020000,3.576720,10.000000,3.581720,4.719766,-7.860567,-0.000000,0.000000
0.020000,3.669543,10.000000,3.674543,4.562555,-7.860567,0.000000,0.000000
0.020000,3.759222,10.000000,3.764222,4.405343,-7.860567,0.000000,0.000000
0.020000,3.845757,10.000000,3.850757,4.248132,-7.860567,0.000000,0.000000
0.020000,3.929147,10.000000,3.934147,4.090921,-7.860567,0.000000,0.000000
0.020000,4.009394,10.000000,4.014394,3.933709,-7.860567,-0.000000,0.000000
0.020000,4.086496,10.000000,4.091496,3.776498,-7.860567,0.000000,0.000000
0.020000,4.160453,10.000000,4.165453,3.619287,-7.860567,0.000000,0.000000
0.020000,4.231267,10.000000,4.236267,3.462075,-7.860567,-0.000000,0.000000
0.020000,4.298936,10.000000,4.303936,3.304864,-7.860567,0.000000,0.000000
0.020000,4.363462,10.000000,4.368462,3.147653,-7.860567,-0.000000,0.000000
0.020000,4.424843,10.000000,4.429843,2.990441,-7.860567,0.000000,0.000000
0.020000,4.483079,10.000000,4.488079,2.833230,-7.860567,-0.000000,0.000000
0.020000,4.538172,10.000000,4.543172,2.676019,-7.860567,0.000000,0.000000
0.020000,4.590120,10.000000,4.595120,2.518807,-7.860567,0.000000,0.000000
0.020000,4.638924,10.000000,4.643924,2.361596,-7.860567,-0.000000,0.000000
0.020000,4.684584,10.000000,4.689584,2.204385,-7.860567,-0.000000,0.000000
0.020000,4.727099,10.000000,4.732099,2.047173,-7.860567,0.000000,0.000000
0.020000,4.766471,10.000000,4.771471,1.889962,-7.860567,-0.000000,0.000000
0.020000,4.802698,10.000000,4.807698,1.732750,-7.860567,0.000000,0.000000
0.020000,4.835781,10.000000,4.840781,1.575539,-7.860567,-0.000000,0.000000
0.020000,4.865719,10.000000,4.870719,1.418328,-7.860567,0.000000,0.000000
0.020000,4.892514,10.000000,4.897514,1.261116,-7.860567,0.000000,0.000000
0.020000,4.916164,10.000000,4.921164,1.103905,-7.860567,0.000000,0.000000
0.020000,4.936670,10.000000,4.941670,0.946694,-7.860567,-0.000000,0.000000
0.020000,4.954032,10.000000,4.959032,0.789482,-7.860567,0.000000,0.000000
0.020000,4.968249,10.000000,4.973249,0.632271,-7.860567,-0.000000,0.000000
0.020000,4.979323,10.000000,4.984323,0.475060,-7.860567,0.000000,0.000000
0.020000,4.987472,10.000000,4.992472,0.339818,-6.762098,54.923455,0.000000
0.020000,4.993140,10.000000,4.998140,0.227035,-5.639160,56.146909,0.000000
0.020000,4.996777,10.000000,5.001777,0.136710,-4.516222,56.146909,0.000000
0.020000,4.998833,10.000000,5.003833,0.068844,-3.393284,56.146909,0.000000
0.020000,4.999756,10.000000,5.004756,0.023438,-2.270345,56.146909,0.000000
0.020000,4.999995,10.000000,5.004995,0.000489,-1.147407,56.146909,0.000000
0.020000,5.000000,10.000000,5.005000,0.000000,-0.024469,56.146909,0.000000
0.020000,5.000000,10.000000,5.005000,0.000000,0.000000,1.223454,0.000000
